,Rk,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Passes_in_Gameflow,Passes_Out_of_Gameflow,Freekick,Throughball,40_yds_pass,Crosses,Corner_Kicks,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Straight,Passes_Offside,Passes_Blocked,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,League,cluster_tackel,cluster_anticipation,cluster_pass,cluster_possesion
56,57,Rodrigo Bentancur,UY,MF,MF,Tottenham,25,1997,45.0,28.0,15.0,21.0,9.0,16.0,28.0,57.1,12.0,28.0,15.0,13.0,20.0,65.0,22.0,0.0,738.0,880.0,83.9,11482.0,3178.0,368.0,413.0,89.1,301.0,336.0,89.6,39.0,70.0,55.7,2.0,0.8,0.7,1.2,11.0,54.0,9.0,4.0,76.0,852.0,25.0,11.0,3.0,3.0,16.0,1.0,0.0,0.0,0.0,3.0,19.0,1071.0,52.0,295.0,612.0,175.0,19.0,1071.0,34.0,21.0,61.8,11.0,32.4,3001.0,1444.0,14.0,1.0,22.0,17.0,732.0,19.0,34.0,2.04,27.0,0.0,1.0,2.0,1.0,3.0,5.0,0.3,2.0,0.0,0.0,1.0,0.0,2.0,EPL,1,2,2,2
62,63,Yves Bissouma,ML,MF,MF,Tottenham,25,1996,16.0,13.0,6.0,6.0,4.0,2.0,7.0,28.6,5.0,15.0,6.0,9.0,12.0,28.0,10.0,0.0,666.0,733.0,90.9,10412.0,2333.0,340.0,357.0,95.2,271.0,289.0,93.8,38.0,48.0,79.2,0.0,0.5,0.4,-0.5,8.0,55.0,5.0,1.0,62.0,714.0,16.0,11.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,12.0,826.0,23.0,164.0,536.0,127.0,2.0,826.0,9.0,7.0,77.8,2.0,22.2,2761.0,1143.0,13.0,1.0,16.0,8.0,613.0,10.0,29.0,2.58,24.0,0.0,1.0,1.0,1.0,2.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
74,75,Cafú,PT,MF,MF,Nott'ham Forest,29,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,45.0,41.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
75,76,Moisés Caicedo,EC,MF,MF,Brighton,20,2001,100.0,50.0,41.0,47.0,12.0,40.0,68.0,58.8,28.0,43.0,7.0,36.0,56.0,156.0,31.0,3.0,1993.0,2251.0,88.5,30177.0,8036.0,1112.0,1202.0,92.5,683.0,755.0,90.5,126.0,159.0,79.2,1.0,2.7,2.5,-1.7000000000000002,43.0,181.0,35.0,7.0,219.0,2214.0,37.0,12.0,11.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,38.0,2603.0,91.0,555.0,1520.0,558.0,28.0,2603.0,54.0,28.0,51.9,21.0,38.9,6220.0,2876.0,32.0,6.0,39.0,23.0,1891.0,61.0,88.0,2.52,81.0,0.0,2.0,3.0,1.0,1.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,EPL,2,2,1,2
76,77,Tom Cairney,SCT,MF,MF,Fulham,31,1991,17.0,6.0,4.0,8.0,5.0,7.0,10.0,70.0,3.0,18.0,3.0,15.0,5.0,22.0,3.0,0.0,632.0,750.0,84.3,10133.0,2428.0,326.0,352.0,92.6,230.0,264.0,87.1,51.0,84.0,60.7,0.0,1.4,1.5,-1.4,12.0,70.0,19.0,5.0,92.0,715.0,33.0,9.0,2.0,4.0,37.0,17.0,7.0,3.0,0.0,2.0,13.0,871.0,10.0,127.0,425.0,332.0,31.0,871.0,21.0,9.0,42.9,8.0,38.1,3124.0,1516.0,27.0,6.0,23.0,21.0,667.0,57.0,45.0,4.1,35.0,4.0,1.0,2.0,2.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,2
85,86,Casemiro,BR,MF,MF,Manchester Utd,30,1992,89.0,46.0,43.0,35.0,11.0,48.0,92.0,52.2,44.0,49.0,11.0,38.0,34.0,123.0,64.0,0.0,1114.0,1439.0,77.4,19801.0,7351.0,515.0,614.0,83.9,446.0,545.0,81.8,126.0,204.0,61.8,3.0,3.1,3.9,-0.1,28.0,136.0,23.0,4.0,152.0,1408.0,24.0,22.0,12.0,13.0,19.0,0.0,0.0,0.0,0.0,7.0,29.0,1758.0,110.0,531.0,949.0,293.0,24.0,1758.0,20.0,9.0,45.0,8.0,40.0,2828.0,1404.0,17.0,1.0,18.0,14.0,1103.0,34.0,68.0,2.88,61.0,0.0,0.0,5.0,2.0,0.0,8.0,0.34,8.0,0.0,0.0,0.0,0.0,0.0,EPL,2,2,1,2
90,91,Nathaniel Chalobah,ENG,MF,MF,Fulham,27,1994,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,80.0,67.0,9.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,5.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
92,93,Calum Chambers,ENG,DF,MF,Aston Villa,27,1995,9.0,6.0,7.0,2.0,0.0,6.0,8.0,75.0,2.0,5.0,4.0,1.0,7.0,16.0,10.0,1.0,157.0,207.0,75.8,2924.0,1310.0,66.0,76.0,86.8,77.0,94.0,81.9,14.0,31.0,45.2,0.0,0.3,0.2,-0.3,2.0,9.0,2.0,1.0,16.0,191.0,13.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,245.0,30.0,119.0,96.0,32.0,2.0,245.0,0.0,0.0,0.0,0.0,0.0,794.0,540.0,4.0,0.0,2.0,1.0,149.0,2.0,6.0,1.53,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
94,95,Ben Chilwell,ENG,DF,MF,Chelsea,25,1996,21.0,17.0,12.0,8.0,1.0,13.0,25.0,52.0,12.0,21.0,2.0,19.0,18.0,39.0,26.0,0.0,762.0,977.0,78.0,10963.0,3238.0,469.0,507.0,92.5,223.0,284.0,78.5,42.0,123.0,34.1,2.0,2.2,2.4,-0.2000000000000001,21.0,42.0,10.0,7.0,41.0,774.0,198.0,25.0,2.0,5.0,92.0,52.0,25.0,20.0,0.0,5.0,18.0,1133.0,23.0,284.0,426.0,426.0,36.0,1133.0,23.0,8.0,34.8,12.0,52.2,3401.0,1852.0,36.0,8.0,25.0,18.0,722.0,131.0,39.0,2.49,19.0,17.0,0.0,1.0,2.0,0.0,4.0,0.26,2.0,1.0,0.0,0.0,1.0,0.0,EPL,1,1,2,2
97,98,Bobby Clark,ENG,MF,MF,Liverpool,17,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,29.0,17.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,1.0,100.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
100,101,Jack Colback,ENG,MF,MF,Nott'ham Forest,32,1989,18.0,13.0,12.0,6.0,0.0,5.0,8.0,62.5,3.0,3.0,0.0,3.0,3.0,21.0,9.0,0.0,119.0,143.0,83.2,1936.0,446.0,61.0,71.0,85.9,48.0,55.0,87.3,8.0,11.0,72.7,0.0,0.2,0.2,-0.2,2.0,12.0,3.0,1.0,16.0,139.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,189.0,16.0,65.0,100.0,27.0,1.0,189.0,4.0,3.0,75.0,0.0,0.0,404.0,210.0,5.0,0.0,5.0,1.0,88.0,3.0,3.0,0.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
104,105,Lewis Cook,ENG,MF,MF,Bournemouth,25,1997,37.0,22.0,10.0,22.0,5.0,18.0,42.0,42.9,24.0,29.0,10.0,19.0,23.0,60.0,31.0,0.0,593.0,751.0,79.0,9922.0,3136.0,291.0,330.0,88.2,238.0,274.0,86.9,48.0,93.0,51.6,2.0,2.5,2.3,-0.5,24.0,55.0,14.0,9.0,63.0,692.0,56.0,32.0,1.0,3.0,45.0,15.0,15.0,0.0,0.0,3.0,20.0,935.0,67.0,290.0,472.0,184.0,9.0,935.0,19.0,7.0,36.8,10.0,52.6,2198.0,819.0,18.0,1.0,15.0,16.0,517.0,10.0,39.0,2.04,27.0,8.0,0.0,0.0,1.0,3.0,4.0,0.21,2.0,1.0,0.0,0.0,0.0,1.0,EPL,1,1,2,1
112,113,Matthew Craig,SCT,MF,MF,Tottenham,19,2003,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,6.0,83.3,65.0,1.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,5.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
119,120,Danilo,BR,MF,MF,Nott'ham Forest,21,2001,18.0,7.0,7.0,9.0,2.0,6.0,25.0,24.0,19.0,26.0,6.0,20.0,9.0,27.0,19.0,0.0,148.0,235.0,63.0,2539.0,979.0,77.0,97.0,79.4,53.0,73.0,72.6,16.0,34.0,47.1,2.0,0.7,0.6,1.3,9.0,24.0,7.0,0.0,34.0,225.0,7.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,18.0,383.0,26.0,118.0,182.0,92.0,21.0,383.0,19.0,14.0,73.7,4.0,21.1,815.0,439.0,9.0,6.0,20.0,8.0,171.0,22.0,23.0,2.12,17.0,1.0,3.0,1.0,1.0,0.0,6.0,0.55,5.0,0.0,1.0,0.0,0.0,0.0,EPL,1,1,2,1
121,122,Josh Dasilva,ENG,MF,MF,Brentford,23,1998,18.0,9.0,6.0,6.0,6.0,6.0,16.0,37.5,10.0,22.0,6.0,16.0,5.0,23.0,7.0,1.0,491.0,617.0,79.6,8103.0,1954.0,255.0,291.0,87.6,187.0,217.0,86.2,40.0,70.0,57.1,2.0,1.5,1.6,0.5,12.0,35.0,24.0,5.0,62.0,591.0,25.0,8.0,1.0,1.0,33.0,6.0,4.0,0.0,0.0,1.0,17.0,770.0,17.0,144.0,342.0,298.0,32.0,770.0,56.0,32.0,57.1,15.0,26.8,3392.0,1631.0,43.0,9.0,28.0,28.0,562.0,69.0,42.0,2.72,36.0,1.0,3.0,1.0,1.0,0.0,7.0,0.45,5.0,0.0,1.0,0.0,1.0,0.0,EPL,1,1,2,2
124,125,Tom Davies,ENG,MF,MF,Everton,24,1998,15.0,9.0,5.0,9.0,1.0,7.0,14.0,50.0,7.0,10.0,1.0,9.0,4.0,19.0,7.0,1.0,173.0,234.0,73.9,2879.0,850.0,87.0,111.0,78.4,64.0,76.0,84.2,16.0,29.0,55.2,0.0,0.2,0.3,-0.2,2.0,25.0,2.0,0.0,30.0,227.0,6.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,309.0,13.0,74.0,183.0,54.0,15.0,309.0,6.0,3.0,50.0,3.0,50.0,616.0,253.0,1.0,0.0,17.0,4.0,201.0,13.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
127,128,Kevin De Bruyne,BE,MF,MF,Manchester City,31,1991,28.0,12.0,3.0,12.0,13.0,14.0,39.0,35.9,25.0,27.0,2.0,25.0,9.0,37.0,10.0,0.0,1192.0,1626.0,73.3,22165.0,6516.0,538.0,633.0,85.0,477.0,629.0,75.8,160.0,275.0,58.2,16.0,13.7,14.1,2.3000000000000007,96.0,124.0,96.0,21.0,246.0,1454.0,160.0,53.0,28.0,27.0,226.0,72.0,20.0,32.0,6.0,12.0,41.0,1860.0,13.0,100.0,743.0,1041.0,100.0,1860.0,61.0,32.0,52.5,19.0,31.1,5721.0,3415.0,81.0,16.0,42.0,29.0,1445.0,245.0,176.0,6.55,120.0,33.0,8.0,7.0,5.0,3.0,31.0,1.15,24.0,3.0,1.0,1.0,2.0,0.0,EPL,1,1,1,3
129,130,Leander Dendoncker,BE,MF,MF,Aston Villa,27,1995,19.0,9.0,11.0,6.0,2.0,11.0,21.0,52.4,10.0,19.0,4.0,15.0,10.0,29.0,12.0,0.0,248.0,284.0,87.3,3948.0,809.0,119.0,128.0,93.0,111.0,121.0,91.7,11.0,18.0,61.1,0.0,0.5,0.1,-0.5,5.0,17.0,0.0,0.0,18.0,278.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,365.0,21.0,102.0,219.0,46.0,7.0,365.0,5.0,3.0,60.0,2.0,40.0,852.0,271.0,6.0,1.0,8.0,3.0,207.0,2.0,8.0,1.03,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
130,131,Leander Dendoncker,BE,MF,MF,Wolves,27,1995,4.0,2.0,0.0,3.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,9.0,13.0,4.0,0.0,86.0,99.0,86.9,1466.0,282.0,45.0,50.0,90.0,32.0,32.0,100.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,6.0,96.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,128.0,6.0,33.0,75.0,21.0,5.0,128.0,2.0,1.0,50.0,1.0,50.0,205.0,77.0,0.0,0.0,2.0,2.0,77.0,3.0,4.0,1.68,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
132,133,Halil Dervişoğlu,TR,MF,MF,Brentford,22,1999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,11.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.25,0.0,0.0,0.0,1.0,0.0,0.0,EPL,1,1,2,1
